# ProbeDetuning, Atom number (mean), Atom number (std)
-3.100000000000000000e+01,9.166536871314128199e-01,2.423736231691731025e-03
-2.900000000000000000e+01,8.970292188858310922e-01,7.712846302156239897e-03
-2.700000000000000000e+01,8.786765584308329213e-01,6.675993526521539767e-03
-2.500000000000000000e+01,8.529428620250867343e-01,4.130688832465978511e-03
-2.300000000000000000e+01,8.275969475692319666e-01,4.150280376420567574e-03
-2.100000000000000000e+01,8.038034716077516739e-01,3.961069521252191805e-05
-1.900000000000000000e+01,7.702396201955057364e-01,2.979638795642003402e-03
-1.700000000000000000e+01,7.157175406705267307e-01,1.872121012552019348e-03
-1.500000000000000000e+01,6.517801937686751312e-01,8.900025842867864689e-03
-1.300000000000000000e+01,5.592397115042079259e-01,5.101218005926888566e-03
-1.100000000000000000e+01,4.479280907952590818e-01,2.186274329244522474e-02
-9.000000000000000000e+00,3.323737466085485703e-01,6.585712328439269347e-03
-7.000000000000000000e+00,1.974536228486739597e-01,2.096444593887664132e-03
-6.750000000000000000e+00,1.861596591467915562e-01,9.365174639060058759e-03
-6.500000000000000000e+00,1.785277131941586937e-01,2.984591850509477062e-04
-6.250000000000000000e+00,1.728946512474614228e-01,5.673111475991726715e-03
-6.000000000000000000e+00,1.663706352863851545e-01,7.358969196235104482e-03
-5.750000000000000000e+00,1.507048853205410488e-01,3.016320069571948315e-04
-5.500000000000000000e+00,1.400935249630158586e-01,6.465065781078901952e-03
-5.250000000000000000e+00,1.374608643230466054e-01,1.208837871991871871e-03
-5.000000000000000000e+00,1.189372611323377543e-01,1.214482495230854997e-02
-4.750000000000000000e+00,1.291315755989770886e-01,5.880289271198289869e-03
-4.500000000000000000e+00,1.377867278087089031e-01,9.314691831136950873e-03
-4.250000000000000000e+00,1.852063528170508344e-01,3.541518400295866342e-02
-4.000000000000000000e+00,1.775137547121252435e-01,8.963484737490526322e-02
-3.750000000000000000e+00,2.878444865726493829e-01,3.280003141198087335e-02
-3.500000000000000000e+00,2.815511009598037351e-01,2.627857806599112611e-02
-3.250000000000000000e+00,2.608581552498585032e-01,4.107072580913605220e-02
-3.000000000000000000e+00,2.923709522144993800e-01,4.178803243037390591e-02
-2.750000000000000000e+00,3.265553867286803413e-01,2.449373554223563398e-02
-2.500000000000000000e+00,3.801926154633165078e-01,2.660507352209695586e-02
-2.250000000000000000e+00,4.496603188054809630e-01,1.516097470687358117e-02
-2.000000000000000000e+00,5.094768868571570852e-01,1.574693126504791985e-02
-1.750000000000000000e+00,5.430462278010912414e-01,1.263052385322521731e-02
-1.500000000000000000e+00,5.528205820734053422e-01,1.182009259913519017e-04
-1.250000000000000000e+00,5.494259530291463189e-01,8.677773195905236214e-03
-1.000000000000000000e+00,5.361508434136015300e-01,1.731644450656028011e-02
-7.500000000000000000e-01,5.089152762208319913e-01,1.254426886378931516e-02
-5.000000000000000000e-01,4.909650287600494378e-01,1.464142642387977755e-02
-2.500000000000000000e-01,5.179081691512155139e-01,9.398114789751998988e-03
0.000000000000000000e+00,5.373976362519564676e-01,1.435906392771912898e-02
2.500000000000000000e-01,5.533551142219943486e-01,1.834208862500302795e-02
5.000000000000000000e-01,5.668988381659183506e-01,1.328225738225846664e-02
7.500000000000000000e-01,5.908826894451999490e-01,2.113856329217417285e-02
1.000000000000000000e+00,5.939500701518345416e-01,2.480024476224990115e-02
1.250000000000000000e+00,5.967424094999186357e-01,4.877872812784067591e-03
1.500000000000000000e+00,6.207141259950118561e-01,1.160660547672964782e-02
1.750000000000000000e+00,6.369186705407688942e-01,1.133270991118340287e-02
2.000000000000000000e+00,6.499339886503621155e-01,1.134802918544286499e-02
2.250000000000000000e+00,6.599161107502492518e-01,2.834034874999558085e-03
2.500000000000000000e+00,6.512432325383543663e-01,3.709390171644122436e-03
2.750000000000000000e+00,6.495717844551511799e-01,4.000447408057550280e-03
3.000000000000000000e+00,6.388591732666206724e-01,2.798332698014271980e-03
3.250000000000000000e+00,6.253298576541810316e-01,6.636038215745376778e-03
3.500000000000000000e+00,5.934635327799623328e-01,1.602337775199513814e-02
3.750000000000000000e+00,5.643095910371918045e-01,2.688426577190483613e-03
4.000000000000000000e+00,5.091369900898421452e-01,1.935367458594516865e-03
4.250000000000000000e+00,4.400928855573362775e-01,4.934476341397209254e-04
4.500000000000000000e+00,3.458064041342312489e-01,1.233136508329601977e-02
4.750000000000000000e+00,2.620172764892721440e-01,3.972686955439617973e-02
5.000000000000000000e+00,1.188501995538504274e-01,2.510895079020893095e-03
5.250000000000000000e+00,1.140321745734690362e-01,2.282573263314831291e-03
5.500000000000000000e+00,1.197282406267776989e-01,4.238564815157871979e-03
5.750000000000000000e+00,1.250005384794051766e-01,3.075818954229835034e-03
6.000000000000000000e+00,1.366301753534394370e-01,2.575124136790812868e-03
6.250000000000000000e+00,1.424866534971616361e-01,7.292127807868725720e-03
6.500000000000000000e+00,1.544442977575704035e-01,8.034499670135128446e-03
6.750000000000000000e+00,1.713640044771677085e-01,2.404573255436193158e-03
7.000000000000000000e+00,1.763628625055737031e-01,2.587507590903745380e-03
9.000000000000000000e+00,3.219372065897357360e-01,9.882364615324101820e-03
1.100000000000000000e+01,4.605403140248960359e-01,1.078200819155578083e-03
1.300000000000000000e+01,5.930207751975331565e-01,7.771477151859440546e-04
1.500000000000000000e+01,6.829662369906046582e-01,9.502041589741216931e-03
1.700000000000000000e+01,7.289786111143223835e-01,9.671658956844797483e-03
1.900000000000000000e+01,7.908466328516232657e-01,1.017254642532600117e-02
2.100000000000000000e+01,8.231419549430873950e-01,3.365899453435405864e-03
2.300000000000000000e+01,8.414753517264363936e-01,9.312101563444030727e-03
2.500000000000000000e+01,8.557386047900675807e-01,1.391358035796708137e-03
2.700000000000000000e+01,8.853699938149695026e-01,8.248859239872730065e-04
2.900000000000000000e+01,8.949124099244369912e-01,1.241628417733897649e-03
3.100000000000000000e+01,9.131039480378143613e-01,2.747105057054333166e-03
